filename,split
IN123 YNA 48h x500 1.tif,train
IN125 Agar 48h x500 1.tif,train
IN125 Agar 48h x500 3.tif,train
IN125 Agar 48h x500 4.tif,train
IN125 Agar 48h x500 5.tif,train
IN125 Agar 48h x500 6.tif,train
IN125 SNA 48h x500 2.tif,train
IN125 SNA 48h x500 3.tif,train
IN125 SNA 48h x500 4.tif,train
IN183 Agar 48h x500 1.tif,train
IN183 Agar 48h x500 4.tif,train
IN183 Agar 48h x500 5.tif,train
IN183 MEA 48h x500 2.tif,train
IN183 MEA 48h x500 3.tif,train
IN183 SNA 48h x500 1.tif,train
IN183 SNA 48h x500 4.tif,train
IN183 SNA 48h x500 5.tif,train
IN183 YNA 48h x500 1.tif,train
IN183 YNA 48h x500 2.tif,train
IN183 YNA 48h x500 4.tif,train
IN125 Agar 48h x500 2.tif,validation
IN183 Agar 48h x500 2.tif,validation
IN183 SNA 48h x500 3.tif,validation
IN183 YNA 48h x500 5.tif,validation
IN125 SNA 48h x500 5.tif,test
IN183 Agar 48h x500 3.tif,test
IN183 SNA 48h x500 2.tif,test
IN183 YNA 48h x500 3.tif,test
IN183 YNA 48h x500 6.tif,test
