mask_filename,mask_stem,width,height,foreground_pixels,required_iterations
IN123 B MEA 48h x500 2.png,IN123 B MEA 48h x500 2,10606,8572,13654234,135
IN123 E 2%A 48h x500 1.png,IN123 E 2%A 48h x500 1,6105,4001,146001,31
IN123 E 2%A 48h x500 2.png,IN123 E 2%A 48h x500 2,6053,4866,1077110,48
IN123 G SNA 48h x500 2.png,IN123 G SNA 48h x500 2,6030,4809,335960,34
IN123 YNA 48h x500 1.png,IN123 YNA 48h x500 1,8246,6634,3681235,122
IN123 YNA 48h x500 3.png,IN123 YNA 48h x500 3,6022,4816,1383827,108
IN123 YNA 48h x500 5.png,IN123 YNA 48h x500 5,8238,6636,3113065,116
IN125 Agar 48h x500 1.png,IN125 Agar 48h x500 1,3811,5716,593713,46
IN125 Agar 48h x500 2.png,IN125 Agar 48h x500 2,6095,4877,320563,43
IN125 Agar 48h x500 3.png,IN125 Agar 48h x500 3,6024,4815,776737,22
IN125 Agar 48h x500 4.png,IN125 Agar 48h x500 4,7130,4819,462467,38
IN125 Agar 48h x500 5.png,IN125 Agar 48h x500 5,4920,3918,324423,74
IN125 Agar 48h x500 6.png,IN125 Agar 48h x500 6,4913,3914,83015,62
IN125 SNA 48h x500 2.png,IN125 SNA 48h x500 2,8462,6819,1507351,73
IN125 SNA 48h x500 3.png,IN125 SNA 48h x500 3,9607,6820,376046,58
IN125 SNA 48h x500 4.png,IN125 SNA 48h x500 4,7142,5739,519395,85
IN125 SNA 48h x500 5.png,IN125 SNA 48h x500 5,4983,3953,241276,55
IN183 Agar 48h x500 1.png,IN183 Agar 48h x500 1,6116,4886,435510,19
IN183 Agar 48h x500 2.png,IN183 Agar 48h x500 2,6105,3972,453697,33
IN183 Agar 48h x500 3.png,IN183 Agar 48h x500 3,3894,3078,623025,52
IN183 Agar 48h x500 4.png,IN183 Agar 48h x500 4,4965,3047,788118,35
IN183 Agar 48h x500 5.png,IN183 Agar 48h x500 5,6105,4882,903830,37
IN183 MEA 48h x500 2.png,IN183 MEA 48h x500 2,7220,4879,3330607,82
IN183 MEA 48h x500 3.png,IN183 MEA 48h x500 3,7220,5802,2416661,66
IN183 SNA 48h x500 1.png,IN183 SNA 48h x500 1,3800,3000,82110,28
IN183 SNA 48h x500 2.png,IN183 SNA 48h x500 2,1600,1200,59745,20
IN183 SNA 48h x500 3.png,IN183 SNA 48h x500 3,1600,1200,60537,36
IN183 SNA 48h x500 4.png,IN183 SNA 48h x500 4,1600,1200,170894,40
IN183 SNA 48h x500 5.png,IN183 SNA 48h x500 5,1600,1200,80869,31
IN183 YNA 48h x500 1.png,IN183 YNA 48h x500 1,7118,5720,2024122,50
IN183 YNA 48h x500 2.png,IN183 YNA 48h x500 2,6101,4868,1118131,58
IN183 YNA 48h x500 3.png,IN183 YNA 48h x500 3,4973,3043,625681,80
IN183 YNA 48h x500 4.png,IN183 YNA 48h x500 4,5094,4012,719502,54
IN183 YNA 48h x500 5.png,IN183 YNA 48h x500 5,3811,3010,1433862,113
IN183 YNA 48h x500 6.png,IN183 YNA 48h x500 6,3847,3040,715837,79
IN7 Agar 48h x500 1.png,IN7 Agar 48h x500 1,2682,4729,240644,52
IN7 D MEA 48h x500 3.png,IN7 D MEA 48h x500 3,6169,4942,1532560,122
IN7 F MEA 48h x500 1.png,IN7 F MEA 48h x500 1,13062,10537,6524063,184
IN7 F YNA 48h x500 3.png,IN7 F YNA 48h x500 3,8522,6811,3064312,214
IN7 J SNA 48h x500 2.png,IN7 J SNA 48h x500 2,8236,6628,1181042,157
