mask_filename,mask_stem,width,height,foreground_pixels,required_iterations,margin_iterations,round_up_to,training_iterations
IN123 E 2%A 48h x500 1.png,IN123 E 2%A 48h x500 1,6105,4001,146001,31,10,10,50
IN123 E 2%A 48h x500 2.png,IN123 E 2%A 48h x500 2,6053,4866,1077110,48,10,10,60
IN123 G SNA 48h x500 2.png,IN123 G SNA 48h x500 2,6030,4809,335960,34,10,10,50
IN123 YNA 48h x500 1.png,IN123 YNA 48h x500 1,8246,6634,3681235,122,10,10,140
IN123 YNA 48h x500 3.png,IN123 YNA 48h x500 3,6022,4816,1383827,108,10,10,120
IN123 YNA 48h x500 5.png,IN123 YNA 48h x500 5,8238,6636,3113065,116,10,10,130
IN125 Agar 48h x500 1.png,IN125 Agar 48h x500 1,3811,5716,593713,46,10,10,60
IN125 Agar 48h x500 2.png,IN125 Agar 48h x500 2,6095,4877,320563,43,10,10,60
IN125 Agar 48h x500 3.png,IN125 Agar 48h x500 3,6024,4815,776737,22,10,10,40
IN125 Agar 48h x500 4.png,IN125 Agar 48h x500 4,7130,4819,462467,38,10,10,50
IN125 Agar 48h x500 5.png,IN125 Agar 48h x500 5,4920,3918,324423,74,10,10,90
IN125 Agar 48h x500 6.png,IN125 Agar 48h x500 6,4913,3914,83015,62,10,10,80
IN125 SNA 48h x500 2.png,IN125 SNA 48h x500 2,8462,6819,1507351,73,10,10,90
IN125 SNA 48h x500 3.png,IN125 SNA 48h x500 3,9607,6820,376046,58,10,10,70
IN125 SNA 48h x500 4.png,IN125 SNA 48h x500 4,7142,5739,519395,85,10,10,100
IN125 SNA 48h x500 5.png,IN125 SNA 48h x500 5,4983,3953,241276,55,10,10,70
IN183 Agar 48h x500 1.png,IN183 Agar 48h x500 1,6116,4886,435510,19,10,10,30
IN183 Agar 48h x500 2.png,IN183 Agar 48h x500 2,6105,3972,453697,33,10,10,50
IN183 Agar 48h x500 3.png,IN183 Agar 48h x500 3,3894,3078,623025,52,10,10,70
IN183 Agar 48h x500 4.png,IN183 Agar 48h x500 4,4965,3047,788118,35,10,10,50
IN183 Agar 48h x500 5.png,IN183 Agar 48h x500 5,6105,4882,903830,37,10,10,50
IN183 MEA 48h x500 2.png,IN183 MEA 48h x500 2,7220,4879,3330607,82,10,10,100
IN183 MEA 48h x500 3.png,IN183 MEA 48h x500 3,7220,5802,2416661,66,10,10,80
IN183 SNA 48h x500 1.png,IN183 SNA 48h x500 1,3800,3000,82110,28,10,10,40
IN183 SNA 48h x500 2.png,IN183 SNA 48h x500 2,1600,1200,59745,20,10,10,30
IN183 SNA 48h x500 3.png,IN183 SNA 48h x500 3,1600,1200,60537,36,10,10,50
IN183 SNA 48h x500 4.png,IN183 SNA 48h x500 4,1600,1200,170894,40,10,10,50
IN183 SNA 48h x500 5.png,IN183 SNA 48h x500 5,1600,1200,80869,31,10,10,50
IN183 YNA 48h x500 1.png,IN183 YNA 48h x500 1,7118,5720,2024122,50,10,10,60
IN183 YNA 48h x500 2.png,IN183 YNA 48h x500 2,6101,4868,1118131,58,10,10,70
IN183 YNA 48h x500 3.png,IN183 YNA 48h x500 3,4973,3043,625681,80,10,10,90
IN183 YNA 48h x500 4.png,IN183 YNA 48h x500 4,5094,4012,719502,54,10,10,70
IN183 YNA 48h x500 5.png,IN183 YNA 48h x500 5,3811,3010,1433862,113,10,10,130
IN183 YNA 48h x500 6.png,IN183 YNA 48h x500 6,3847,3040,715837,79,10,10,90
IN7 Agar 48h x500 1.png,IN7 Agar 48h x500 1,2682,4729,240644,52,10,10,70
IN7 D MEA 48h x500 3.png,IN7 D MEA 48h x500 3,6169,4942,1532560,122,10,10,140
IN7 F MEA 48h x500 1.png,IN7 F MEA 48h x500 1,13062,10537,6524063,184,10,10,200
IN7 F YNA 48h x500 3.png,IN7 F YNA 48h x500 3,8522,6811,3064312,214,10,10,230
IN7 J SNA 48h x500 2.png,IN7 J SNA 48h x500 2,8236,6628,1181042,157,10,10,170
